Computational fluid dynamics, Вычислительная гидродинамика
ecosystem, экосистема
bioinformatics, биоинформатика
imitation modelling, имитационное моделирование
big data, большие данные
data flow diagram, диаграмма потока данных
waterfall programming model, водопадная модель программирования
data analysis, анализ данных
neural network, нейронная сеть
activation function, функция активации
loss function, функция потерь
optimizer, оптимизатор
quantum computing, квантовые вычисления
cloud computing, облачные вычисления
parallel programming technologies, технологии параллельного программирования
database, база данных
algorithms, алгоритмы
application (web; mobile), приложение (веб; мобильное)
workstation, рабочая станция
supercomputer, суперкомпьютер
neurocomputer, нейрокомпьютер
Selenium, Селен
automatic testing, автоматическое тестирование
programming languages, языки программирования
game development, разработка игр
documentation, документация
information, информация
technology, технологии
algorithm, алгоритм
data, данные
hardware, аппаратное обеспечение
software, программное обеспечение
processor, процессор
gpu (graphic processor unit), графический процессор (графический процессор)
cpu (central processor unit), процессор (центральный процессор)
internet, Интернет
api (application programm interface), API (интерфейс прикладной программы)
programming language, язык программирования
perfomance test, тест производительности
resource monitoring, мониторинг ресурсов
c++, с++
python, питон
ide (integrated development invironment), ide (интегрированная среда разработки)
code, код
user, пользователь
architecture, архитектура
mainframe, мэйнфрейм
server, сервер
client, клиент
web, сеть
Data analysis, Анализ данных
Information protection, Защита информации
Databases, Базы данных
Law code, Кодекс законов
Database protection, Защита базы данных
Database analysis, Анализ базы данных
Studying the legal code, Изучаем юридический кодекс
Basics of information security, Основы информационной безопасности
Computer hardware, Компьютерное железо
Software, Программное обеспечение
Programming, Программирование
Personal data, Личные данные
Government secret, Правительственная тайна
Commercial secret, Коммерческая тайна
Constitution, Конституция
Federal law, Федеральный закон
Rights and freedoms, Права и свободы
Access to state secrets, Доступ к государственной тайне
Means of protection, Средства защиты
Restriction of rights, Ограничение прав
DB (DataBase), База данных
SQL (Structure Query Language), язык структурных запросов
Programming, Программирование
Computer, Компьютер
computer accessories, компьютерные аксессуары
monitor, монитор
cpu, процессор
memory, Память
disk (storage), диск (хранилище)
graphics, графика
Web (World Wide Web), Сеть (Всемирная паутина)
Security, Безопасность
information, информация
law, закон
Safe, Безопасный
information, информация
hack, взломать
security, безопасность
bank, банк
code, код
antivirus, антивирус
cheat, мошенничать
scam, мошенничество
lock, замок
unlock, разблокировать
Information, Информация
security, безопасность
data, данные
user, пользователь
virus petya, вирус петя
password, пароль
server, сервер
kaspesky, Касперский
internet, Интернет
antivirus, антивирус
Information, Информация
safety, безопасность
security, безопасность
secret, секрет
program, программа
program language, язык программы
code, код
computer, компьютер
printing, печать
be the danger of information, представлять опасность информации
information, информация
security, безопасность
programming, программирование
state secrets, государственная тайна
crime and punishment, преступление и наказание
law, закон
following the rules, следуя правилам
discipline, дисциплина
secrecy, секретность
Information, Информация
safety, безопасность
privacy, конфиденциальность
protection, защита
knowledge, знание
programming, программирование
work, работа
communication, коммуникация
skills, навыки
new technologies, новые технологии
ideas, идеи
collaboration, сотрудничество
